County FIPS code,Size of adjusted gross income by county,Number of returns,Number of joint returns,Number with paid preparer's signature,Number of exemptions,Number of dependents,Adjusted gross income (AGI),Salaries and wages in AGI Number of returns,Salaries and wages in AGI Amount,Taxable interest Number of returns,Taxable interest Amount,Ordinary dividends Number of returns,Ordinary dividends Amount,Qualified dividends Number of returns,Qualified dividends Amount,Business or profession net income (less loss) Number of returns,Business or profession net income (less loss) Amount,Number of farm returns,Net capital gain (less loss) in AGI Number of returns,Net capital gain (less loss) in AGI Amount,Taxable individual retirement arrangement distributions Number of returns,Taxable individual retirement arrangement distributions Amount,Pensions and annuities in AGI Number of returns,Pensions and annuities in AGI Amount,Unemployment compensation Number of returns,Unemployment compensation Amount,Social Security benefits in AGI Number of returns,Social Security benefits in AGI Amount,Self-employment retirement plans Number of returns,Self-employment retirement plans Amount,Total itemized deductions Number of returns,Total itemized deductions Amount,State and local income taxes Number of returns,State and local income taxes Amount,State and local general sales taxes Number of returns,State and local general sales taxes Amount,Real estate taxes Number of returns,Real estate taxes Amount,Taxes paid Number of returns,Taxes paid Amount,Mortgage interest paid Number of returns,Mortgage interest paid Amount,Contributions Number of returns,Contributions Amount,Taxable income Number of returns,Taxable income Amount,Total tax credits Number of returns,Total tax credits Amount,Residential energy credit Number of returns,Residential energy credit Amount,Child tax credit Number of returns,Child tax credit Amount,Child and dependent care credit Number of returns,Child and dependent care credit Amount,Additional child tax credit Number of returns,Additional child tax credit Amount,Earned income credit Number of returns,Earned income credit Amount,Excess earned income credit (refundable) Number of returns,Excess earned income credit (refundable) Amount,Alternative minimum tax Number of returns,Alternative minimum tax Amount,Income tax Number of returns,Income tax Amount,Total tax liability Number of returns,Total tax liability Amount,Tax due at time of filing Number of returns,Tax due at time of filing Amount,Overpayments refunded  Number of returns,Overpayments refunded  Amount
7,Anson County,9630,2908,7372,20451,6891,314675,8146,240380,2705,3926,925,2742,805,2156,1471,8699,354,640,3406,672,6890,1731,25890,1228,9148,993,10194,21,215,2113,37367,1760,6966,264,258,1849,3015,2107,10866,1587,9481,1876,8392,6493,164980,3375,3310,591,519,1617,1634,553,300,2423,2956,3459,8719,3199,7966,34,219,5005,20412,5741,22661,1172,2956,8141,24004
7,Under $1,105,27,87,147,28,-3064,20,374,42,68,24,31,0,0,36,-1508,27,35,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,54
7,"$1 under $25,000",4968,657,3816,9473,3356,66597,3992,51371,767,852,240,362,223,281,778,4045,94,146,194,245,1264,633,4558,682,4882,157,267,0,0,318,4119,171,228,109,81,257,356,315,735,189,941,256,702,2029,11353,944,362,92,48,312,97,104,37,1723,2003,2633,7311,2486,6747,0,0,1290,838,1904,1614,322,193,4412,12892
7,"$25,000 under $50,000",2688,769,2026,6010,2055,93618,2478,78456,745,768,211,343,183,253,332,1108,70,141,310,174,1375,485,6143,335,2827,373,2203,21,215,692,9825,584,1192,79,73,574,713,691,2159,526,2725,613,2170,2599,45387,1473,1409,253,209,749,660,245,154,655,894,826,1408,713,1219,0,0,1907,4053,2022,4499,322,416,2360,6750
7,"$50,000 under $75,000",1049,710,802,2594,791,63979,936,48801,551,727,189,528,164,343,168,1616,72,122,548,120,1349,316,6155,147,871,254,3446,0,0,494,8533,438,1454,43,48,434,618,494,2267,384,2207,436,1939,1046,40070,532,797,130,125,329,497,99,55,45,59,0,0,0,0,0,0,994,4558,1002,4951,248,549,797,2151
7,"$75,000 under $100,000",470,419,358,1266,377,40346,419,30018,316,490,115,423,101,348,69,657,40,80,356,75,945,162,4361,40,277,112,2152,0,0,307,6011,288,1349,33,56,292,479,307,1947,255,1651,286,1489,469,27801,238,417,60,60,152,263,62,31,0,0,0,0,0,0,0,0,465,3466,465,3648,135,359,333,1022
7,"$100,000 under $200,000",309,290,248,859,260,38630,267,24634,248,705,120,434,110,354,88,2781,51,90,771,58,1957,135,4673,24,291,97,2126,0,0,262,6616,241,1713,0,0,253,573,260,2405,205,1546,245,1689,309,28447,167,265,56,77,75,117,43,23,0,0,0,0,0,0,0,0,308,4478,307,4846,123,811,202,1135
7,"$200,000 or more",41,36,35,102,24,14569,34,6726,36,316,26,621,24,577,0,0,0,26,1124,0,0,0,0,0,0,0,0,0,0,40,2263,38,1030,0,0,39,276,40,1353,28,411,40,403,41,11922,21,60,0,0,0,0,0,0,0,0,0,0,0,0,34,219,41,3019,41,3103,22,628,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ashe County,10885,5477,6876,22282,5929,404694,8399,268554,4795,10451,1695,6077,1529,4671,2436,18697,901,1517,31664,1379,17378,2377,44602,1835,13649,1547,16693,31,441,2585,53433,2036,9944,485,537,2351,3786,2576,14650,1993,17473,2160,9548,7436,232228,3194,3050,556,519,1578,1759,312,138,1734,2214,2641,5206,2194,4339,89,567,6422,31377,7491,35121,1747,4660,8585,21795
9,Under $1,238,132,197,410,46,-9487,65,1409,137,250,51,97,45,72,127,-1116,74,82,2052,33,406,40,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23,0,0,0,0,0,0,49,83,24,13,102,282
9,"$1 under $25,000",5155,1451,3081,8842,2357,65875,3700,44167,1489,2039,436,668,385,416,1088,6554,259,389,1504,483,2681,826,6174,915,5832,192,275,0,0,364,5513,157,219,177,119,297,414,358,780,221,1682,271,579,2061,11698,565,162,58,21,188,65,27,7,1154,1386,1945,3973,1661,3394,0,0,1694,1075,2488,2142,542,328,4204,8557
9,"$25,000 under $50,000",2842,1610,1794,6336,1783,101028,2438,75337,1295,1694,371,696,337,451,572,4310,244,329,1369,338,3474,610,8994,581,4893,583,3091,0,0,644,10094,486,993,142,145,571,722,642,1924,488,3526,501,1468,2732,47501,1313,975,183,122,685,603,95,40,533,777,668,1210,533,945,0,0,2170,4580,2371,5476,388,484,2438,6387
9,"$50,000 under $75,000",1401,1152,904,3496,932,85435,1194,60854,857,1281,330,848,284,586,320,2563,139,259,2103,244,3209,418,9143,264,2158,356,4814,0,0,624,10936,550,1834,69,83,580,727,623,2713,517,4244,520,1739,1396,53213,722,1012,152,126,445,672,111,49,47,51,0,0,0,0,0,0,1334,5903,1356,6465,357,712,1034,2671
9,"$75,000 under $100,000",659,598,448,1691,431,56568,537,37244,494,1109,204,728,191,572,159,977,85,175,3797,126,2305,245,8021,48,419,205,3989,31,441,449,9494,390,1850,54,76,423,651,449,2661,376,3537,398,1632,657,38485,314,486,77,58,181,311,51,28,0,0,0,0,0,0,0,0,641,4738,644,5060,188,489,468,1579
9,"$100,000 under $200,000",487,445,362,1229,294,62543,386,34470,424,1392,230,1139,216,826,136,3875,70,208,4065,155,5303,210,9504,27,347,181,3875,0,0,404,10665,362,2745,43,114,388,847,404,3768,323,3496,373,2227,487,46362,234,299,86,192,79,108,28,14,0,0,0,0,0,0,0,0,480,7395,480,8007,193,1011,292,1490
9,"$200,000 or more",103,89,90,278,86,42732,79,15073,99,2686,73,1901,71,1748,34,1534,30,75,16774,0,0,28,2223,0,0,30,649,0,0,100,6731,91,2303,0,0,92,425,100,2804,68,988,97,1903,103,34969,46,116,0,0,0,0,0,0,0,0,0,0,0,0,89,567,103,7686,103,7888,55,1623,47,829
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Avery County,6646,3177,4335,13416,3635,236105,5129,158731,2703,5024,1078,5527,967,4186,1552,10772,344,1067,13190,716,10044,1341,25828,941,6052,927,9767,0,0,1588,33696,1193,5808,341,384,1386,2389,1582,8833,1171,10115,1323,7055,4453,136757,1873,1796,295,211,944,1055,149,75,1061,1387,1543,3105,1273,2522,57,355,3857,18718,4568,20799,1171,2905,5145,12201
11,Under $1,144,76,125,257,44,-10365,40,1171,83,226,60,176,56,125,58,-679,26,74,927,0,0,27,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,31,0,0,54,145
11,"$1 under $25,000",3241,862,2032,5406,1406,40134,2356,26720,830,889,297,533,260,336,756,4904,86,294,1090,239,1323,442,3705,438,2594,117,193,0,0,246,3560,102,120,125,83,188,237,241,462,141,1072,182,446,1282,7193,325,93,31,8,106,33,0,0,713,877,1158,2392,966,1954,0,0,1059,656,1624,1448,381,234,2638,4898
11,"$25,000 under $50,000",1691,900,1071,3716,1073,60296,1428,44312,744,792,228,516,205,336,341,1927,93,225,969,197,1835,381,6657,321,2177,381,2156,0,0,412,6797,298,649,95,90,351,456,411,1246,298,2183,301,972,1606,28692,715,553,107,71,389,351,62,25,305,443,385,713,307,568,0,0,1300,2829,1405,3222,256,305,1419,3562
